SYMBOL,COMPANY,COUNTRY,EXCHANGE
ADARSHPL.BO,Adarsh Plant Protect Ltd,India,Bombay Stock Exchange
AFPO.L,African Potash Ltd,United Kingdom,London Stock Exchange
AGU.DE,Agrium Inc,Germany,XETRA Stock Exchange
AGU.TO,Agrium Inc,Canada,Toronto Stock Exchange
AGU,Agrium Inc.,United States of America,
AIMCO.BO,Aimco Pesticides Ltd,India,Bombay Stock Exchange
AVD,American Vanguard Corp.,United States of America,
ARIES.BO,Aries Agro Ltd,India,Bombay Stock Exchange
ARIES.NS,Aries Agro Ltd,India,National Stock Exchange of India
BASANTGL.BO,Basant Agro-Tech India Ltd,India,Bombay Stock Exchange
BAYER.BO,Bayer CropScience Ltd,India,Bombay Stock Exchange
BAYERCROP.NS,Bayer CropScience Ltd,India,National Stock Exchange of India
BHAGCHEM.BO,Bhagiradha Chemicals,India,Bombay Stock Exchange
BFIL.BO,Bharat Agri Fert & Realty Ltd,India,Bombay Stock Exchange
BHARATRAS.NS,Bharat Rasayan Ltd,India,National Stock Exchange of India
BHTRAS.BO,Bharat Rasayan Ltd,India,Bombay Stock Exchange
4FM.DE,Bisi International Tbk,Germany,XETRA Stock Exchange
CAMSONBIO.BO,Camson Bio Technologies Ltd,India,Bombay Stock Exchange
CVAT,"Cavitation Technologies, Inc.",United States of America,
0509.HK,Century Sunshine,Hong Kong,Hong Kong Stock Exchange
CERE,"Ceres, Inc.",United States of America,
C4F.DE,CF Industries Holdings Inc,Germany,XETRA Stock Exchange
CF,"CF Industries Holdings, Inc.",United States of America,
CHAMBAL.BO,Chambal Fertilisers,India,Bombay Stock Exchange
CHAMBLFER.NS,Chambal Fertilisers,India,National Stock Exchange of India
JA9.SI,Changjiang Fertilizer,Singapore,Singapore Stock Exchange
CQT.DE,China Agrotech Holdings Ltd,Germany,XETRA Stock Exchange
1073.HK,China Agrotech Holdings Ltd.,Hong Kong,Hong Kong Stock Exchange
H1Q.DE,China BlueChemical Ltd,Germany,XETRA Stock Exchange
3983.HK,China BlueChemical Ltd.,Hong Kong,Hong Kong Stock Exchange
GR0.DE,China Green Agriculture Inc,Germany,XETRA Stock Exchange
CGA,"China Green Agriculture, Inc.",United States of America,
FF5.DE,Chnia XLX Fertiliser Ltd,Germany,XETRA Stock Exchange
1866.HK,Chnia XLX Fertiliser Ltd.,Hong Kong,Hong Kong Stock Exchange
COROMINTE.BO,Coromandel International Ltd,India,Bombay Stock Exchange
COROMANDE.NS,Coromandel International Ltd.,India,National Stock Exchange of India
UAN,"CVR Partners, LP",United States of America,
DEEPAKFER.NS,Deepak Fertilisers,India,National Stock Exchange of India
DEEPAKFERT.BO,Deepak Fertilisers,India,Bombay Stock Exchange
DHANUKA.BO,Dhanuka Agritech Ltd,India,Bombay Stock Exchange
E6R.DE,DuSolo Fertilizers Inc,Germany,XETRA Stock Exchange
DD.BA,E I du Pont de Nemours,Argentina,Buenos Aires Stock Exchange
DD.MX,E I du Pont de Nemours,Mexico,Mexico Stock Exchange
DUPP.PA,E I du Pont de Nemours,France,Paris Stock Exchange
DD,E. I. du Pont de Nemours and C,United States of America,
EDEN.L,Eden Research PLC,United Kingdom,London Stock Exchange
EXCELCROP.NS,Excel Crop Care Ltd,India,National Stock Exchange of India
XCLCROP.BO,Excel Crop Care Ltd,India,Bombay Stock Exchange
EXCELINDU.NS,Excel Industries Ltd,India,National Stock Exchange of India
XCLIND.BO,Excel Industries Ltd,India,Bombay Stock Exchange
BAZA257.SA,Fertilizantes Heringer SA,Brazil,BOVESPA - Sao Paolo Stock Exchange
FACT.NS,Fertilizers & Chemicals,India,National Stock Exchange of India
FACTL.BO,Fertilizers & Chemicals,India,Bombay Stock Exchange
0809.HK,Global Bio-chem,Hong Kong,Hong Kong Stock Exchange
GLY.DE,Global Bio-chem,Germany,XETRA Stock Exchange
GOP.V,Gourmet Ocean Products Inc,Canada,TSX Venture Exchange
GRVO.PA,Graines Voltz,France,Paris Stock Exchange
0431.HK,Greater China Holdings Ltd.,Hong Kong,Hong Kong Stock Exchange
GROG,"GroGenesis, Inc.",United States of America,
GNFC.BO,Gujarat Narmada Valley,India,Bombay Stock Exchange
GNFC.NS,Gujarat Narmada Valley,India,National Stock Exchange of India
HFR.AX,Highfield Resources Ltd,Australia,Australian Stock Exchange
ECA1.DE,IC Potash Corp,Germany,XETRA Stock Exchange
ICP.TO,IC Potash Corp,Canada,Toronto Stock Exchange
ICP.TO,IC Potash Corp,Canada,Toronto Stock Exchange
I5P.DE,Incitec Pivot Ltd,Germany,XETRA Stock Exchange
IPL.AX,Incitec Pivot Ltd,Australia,Australian Stock Exchange
INSECTCID.BO,Insecticides (India) Ltd,India,Bombay Stock Exchange
INSECTICI.NS,Insecticides (India) Ltd,India,National Stock Exchange of India
INAG.BA,Insumos AGroquimicos SA,Argentina,Buenos Aires Stock Exchange
58I.DE,Intrepid Potash Inc,Germany,XETRA Stock Exchange
IPI,"Intrepid Potash, Inc.",United States of America,
ISG.MI,Isagro,Italy,Milan Stock Exchange
ISGS.MI,Isagro,Italy,Milan Stock Exchange
AKRN.L,JSC Acron,United Kingdom,London Stock Exchange
KRN.TO,Karnalyte Resources Inc,Canada,Toronto Stock Exchange
KHAICHEM.BO,Khaitan Chemicals,India,Bombay Stock Exchange
KILPEST.BO,Kilpest India Ltd,India,Bombay Stock Exchange
KWBT,Kiwa Bio-Tech Products Group C,United States of America,
MPAGI.BO,M P Agro Industries Ltd,India,Bombay Stock Exchange
MADRASFER.NS,Madras Fertilizers Ltd,India,National Stock Exchange of India
3TE.DE,MagIndustries Corp,Germany,XETRA Stock Exchange
